region,user_ip,user_port,domain_name,app_type,app_sub_type,start_time,end_time,ul_data,dl_data
NA,10.105.55.115,55816,www.23fa.com,15,999,1409649428377,1409649428927,939,3045
NA,10.81.227.207,52624,,15,999,1409649439249,1409649439659,386,335
NA,10.83.108.208,51662,,15,999,1409649449617,1409649450057,474,1657
133810462,10.92.98.36,53089,,15,999,1409649438098,1409649438697,434,528
133871134,10.80.217.151,33543,,15,999,1409649437992,1409649438392,474,1657
NA,10.83.108.208,59550,,15,999,1409649449688,1409649450107,386,335
NA,10.89.112.118,58057,,15,999,1409649443496,1409649443866,434,1617
133828884,10.91.108.16,55009,www.google.com,15,168,1409649440237,1409649442217,703,597
NA,10.81.255.58,50142,maps.google.com,15,168,1409649442553,1409649444528,865,10084
134013450,10.78.92.208,52265,www.t-jiaju.com,15,999,1409649432927,1409649435023,7627,203217
134013450,10.78.92.208,52266,www.t-jiaju.com,15,999,1409649433086,1409649434002,1375,1040
134013450,10.78.92.208,52274,www.t-jiaju.com,15,999,1409649434156,1409649436739,6159,133851
134013450,10.78.92.208,52283,www.t-jiaju.com,15,999,1409649435277,1409649436109,1375,1040
134013450,10.78.92.208,49369,www.tb27.net,15,999,1409649434902,1409649437025,8264,223225
NA,10.83.124.18,60107,www.3439.com,15,999,1409649428738,1409649431553,1082,3334
131513610,10.84.123.229,45853,i.w.inmobi.com,18,219,1409649409057,1409649409622,2531,4020
131513610,10.84.123.229,45853,i.w.inmobi.com,18,219,1409649424472,1409649424612,1522,3980
131513610,10.84.123.229,45853,i.w.inmobi.com,18,219,1409649440312,1409649440612,1418,323
131513610,10.84.123.229,45853,i.w.inmobi.com,18,219,1409649444162,1409649444322,1403,363
131513610,10.84.123.229,45853,i.w.inmobi.com,18,219,1409649446462,1409649453241,1492,403
131513610,10.84.123.229,45854,i.w.inmobi.com,18,219,1409649409122,1409649409397,1525,3979
131513610,10.84.123.229,45854,i.w.inmobi.com,18,219,1409649424512,1409649424652,1536,3980
131513610,10.84.123.229,45854,i.w.inmobi.com,18,219,1409649440212,1409649440372,1575,4166
131513610,10.84.123.229,45854,i.w.inmobi.com,18,219,1409649444192,1409649444382,1409,363
131513610,10.84.123.229,45854,i.w.inmobi.com,18,219,1409649446422,1409649453241,1491,363
133877258,10.88.122.61,55295,i.w.inmobi.com,18,219,1409649447787,1409649449867,1670,3854
NA,10.97.130.254,55134,i.w.inmobi.com,18,219,1409649438163,1409649440208,1665,3894
131513610,10.84.123.229,51040,et.w.inmobi.com,18,219,1409649409677,1409649410237,1281,921
131513610,10.84.123.229,51041,et.w.inmobi.com,18,219,1409649411217,1409649412167,1241,841
131513610,10.84.123.229,51042,et.w.inmobi.com,18,219,1409649414142,1409649414362,1241,841
134158100,10.84.123.229,51047,et.w.inmobi.com,18,219,1409649418362,1409649418602,1241,841
134158100,10.84.123.229,51052,et.w.inmobi.com,18,219,1409649424642,1409649424862,1241,841
134158100,10.84.123.229,51053,et.w.inmobi.com,18,219,1409649424692,1409649424902,1241,841
133877258,10.88.122.61,55281,et.w.inmobi.com,18,219,1409649426928,1409649427117,781,809
133877258,10.88.122.61,55283,et.w.inmobi.com,18,219,1409649427138,1409649427328,821,849
133877258,10.88.122.61,55284,et.w.inmobi.com,18,219,1409649427328,1409649427517,781,809
133877258,10.88.122.61,55285,et.w.inmobi.com,18,219,1409649428528,1409649428728,781,809
